Brand Name,Gross Sales,Net Sales,Total Sales,Total Ad Spend,Order Count,Country_India,Country_Japan,Country_Kuwait,Country_Singapore,Country_South Africa,Country_Turkey,Country_UAE,Country_USA,Return Amount
1,-0.09982283959497074,-0.8049295065552998,-0.28989366784343956,1.0320002411517926,-0.3908162553047077,False,False,False,False,False,False,False,True,15829
4,0.47815722467999444,0.7441700954609761,0.6174094080430506,-0.47070612211264884,-0.14512681648599426,True,False,False,False,False,False,False,False,17089
1,1.3625736979780363,0.8015732931077069,0.8658389518072999,-0.794777899286359,-0.3908162553047077,True,False,False,False,False,False,False,False,1924
3,0.06962549283975643,0.09224140252928073,0.15394049362151302,-0.5876034417360229,-1.1278845717608479,True,False,False,False,False,False,False,False,10409
2,-0.7786521373418536,-0.36081812921206735,-0.412050673243391,0.30074384995135756,-0.14512681648599426,False,False,False,False,False,False,False,True,3846
4,-0.5636662546435673,-0.49319428253670167,-0.44220166676655376,0.4566599902460485,-0.6365056941234211,True,False,False,False,False,False,False,False,1751
0,-0.8597278944876561,-0.43022832926297194,-0.7234778226802088,1.2907831292170422,-0.14512681648599426,False,False,False,False,False,False,False,True,1494
4,0.32321244435690527,0.562913922959805,0.49804785899624004,0.1684675884022848,0.34625206115143253,True,False,False,False,False,False,False,False,2381
2,0.9582606080346183,1.1799570528749057,1.1472149454478529,-0.057225256415120475,1.0833203776075728,True,False,False,False,False,False,False,False,17107
0,0.3159061673754494,0.26224216811958384,0.30990920919754983,0.17136108641276435,-0.14512681648599426,True,False,False,False,False,False,False,False,12557
0,-0.7542168049798548,-0.8451198839233438,-0.8832625580398983,0.47112748029844626,-1.1278845717608479,True,False,False,False,False,False,False,False,11478
2,2.2919174012566783,2.352914675828175,2.35680447221962,-0.4258569029502158,2.5574570105198533,True,False,False,False,False,False,False,False,17660
2,-0.20076215724149482,-0.5613022304381841,-0.32825354113376215,1.5961993383830064,0.8376309387888593,False,False,False,False,False,False,False,True,16913
1,-0.7277320576455593,-0.10060868883845582,-0.6719615556008977,-0.4007056749627762,0.5919414999701459,False,False,False,False,True,False,False,False,4704
4,-0.542564036742007,-0.3125519630770572,-0.44009398142093165,-1.7702165875911637,0.8376309387888593,False,False,False,False,False,False,False,True,18057
0,-0.1604720101487613,-0.3762720527737912,-0.6794604781990058,2.578414859443175,-1.1278845717608479,False,False,False,False,False,False,True,False,17188
4,-0.608122794811849,-0.07117752142747141,-0.5153938136634735,-0.059814937134499625,0.5919414999701459,False,False,False,False,False,False,False,True,8850
2,-0.03715713479261483,0.13533682179284104,0.23159205898653845,0.5590898198170247,0.5919414999701459,True,False,False,False,False,False,False,False,15394
1,-0.809145630446136,-0.5508155992356722,-0.74881441915074,-0.4641581361149336,-1.1278845717608479,False,False,False,False,False,False,False,True,7786
4,0.07908433117343339,0.21144069871875715,0.2353637064471254,0.009035848024861329,-0.14512681648599426,True,False,False,False,False,False,False,False,5726
0,-0.2356472538578415,-0.33881503371811944,-0.2502913695072766,-0.7055916101093478,0.5919414999701459,False,False,False,False,False,False,False,True,3501
4,0.7966047819137853,0.9743871520135394,0.96440097441705,0.48530562054979604,-0.14512681648599426,True,False,False,False,False,False,False,False,9687
